2026-07-01 11:15:36,524 [INFO] Starting monitoring agent on LAPTOP-OIGSK0SV
2026-07-01 11:15:36,524 [INFO] Logged in as: VICTUS
2026-07-01 11:15:44,162 [WARNING] Attempt 1/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:51,359 [WARNING] Attempt 2/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:58,570 [WARNING] Attempt 3/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:15:58,571 [ERROR] All retry attempts failed. Skipping this reading.
2026-07-01 11:16:09,760 [WARNING] Attempt 1/3 failed to send data: HTTPSConnectionPool(host='spm-p86v.onrender.com', port=443): Read timed out. (read timeout=5)
2026-07-01 11:16:16,970 [INFO] Monitoring agent stopped by user.
2026-07-01 11:17:02,027 [INFO] Starting monitoring agent on LAPTOP-OIGSK0SV
2026-07-01 11:17:02,027 [INFO] Logged in as: VICTUS
2026-07-01 11:18:39,964 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 6.9, 'ram': 70.1, 'disk': 58.4, 'network': 2.95, 'timestamp': '2026-07-01T05:48:39.666335+00:00'}
2026-07-01 11:18:46,295 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 82.7, 'ram': 71.3, 'disk': 58.4, 'network': 2.93, 'timestamp': '2026-07-01T05:48:45.974953+00:00'}
2026-07-01 11:18:52,547 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 84.6, 'ram': 72.1, 'disk': 58.4, 'network': 3.01, 'timestamp': '2026-07-01T05:48:52.315807+00:00'}
2026-07-01 11:18:58,858 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 32.8, 'ram': 72.4, 'disk': 58.4, 'network': 2.64, 'timestamp': '2026-07-01T05:48:58.562505+00:00'}
2026-07-01 11:19:05,254 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 81.7, 'ram': 73.2, 'disk': 58.5, 'network': 5.64, 'timestamp': '2026-07-01T05:49:04.876139+00:00'}
2026-07-01 11:19:11,740 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 67.2, 'ram': 73.3, 'disk': 58.5, 'network': 1.47, 'timestamp': '2026-07-01T05:49:11.272932+00:00'}
2026-07-01 11:19:18,151 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 30.8, 'ram': 73.7, 'disk': 58.5, 'network': 3.78, 'timestamp': '2026-07-01T05:49:17.752109+00:00'}
2026-07-01 11:19:24,463 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 22.5, 'ram': 73.4, 'disk': 58.5, 'network': 34.07, 'timestamp': '2026-07-01T05:49:24.163361+00:00'}
2026-07-01 11:19:30,778 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 21.0, 'ram': 73.2, 'disk': 58.6, 'network': 3014.22, 'timestamp': '2026-07-01T05:49:30.474051+00:00'}
2026-07-01 11:19:37,186 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 19.1, 'ram': 73.3, 'disk': 58.6, 'network': 3.89, 'timestamp': '2026-07-01T05:49:36.790810+00:00'}
2026-07-01 11:19:43,508 [INFO] Data sent successfully: {'system_name': 'LAPTOP-OIGSK0SV', 'ip_address': '172.20.10.11', 'os': 'Windows 11', 'logged_in_user': 'VICTUS', 'cpu': 24.2, 'ram': 73.6, 'disk': 58.6, 'network': 10.49, 'timestamp': '2026-07-01T05:49:43.198943+00:00'}
